ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
600.02,7500000,Jabal Ali First,2026-03-12T10:14:11,600.02,1467,2026,7500000,Land,Commercial,COMPLETED
232.26,7500000,Hor Al Anz,2026-03-31T09:52:05,232.26,1690,2026,7500000,Land,Commercial,COMPLETED
532.89,7700000,Al Thanayah Fourth,2026-03-05T10:46:18,532.89,1389,2026,7700000,Land,Commercial,COMPLETED
917.31,7899066,Al Khawaneej First,2026-03-16T11:12:51,917.31,1512,2026,7899066,Land,Residential,COMMITTED
929.03,7999989,Um Suqaim Second,2026-03-27T11:00:43,929.03,1658,2026,7999989,Land,Residential,COMPLETED
929.03,7999989,Um Suqaim Second,2026-03-27T11:17:11,929.03,1659,2026,7999989,Land,Residential,COMPLETED
1047.24,8000000,Al Merkadh,2026-03-02T00:42:34,1047.24,1331,2026,8000000,Land,Land,COMPLETED
1393.55,8000000,Al Barsha Third,2026-03-16T14:37:15,1393.55,1528,2026,8000000,Land,Residential,COMPLETED
1005.65,8000000,Dubai Investment Park First,2026-03-10T10:30:39,1005.65,1433,2026,8000000,Land,Commercial,COMPLETED
833.16,8071246,Jumeirah First,2026-03-17T09:41:25,833.16,1530,2026,8071246,Land,Residential,COMPLETED
1081.39,8729980,Jumeirah First,2026-03-23T09:40:26,1081.39,1566,2026,8729980,Land,Residential,COMPLETED
1393.55,9000000,Al Barsha Third,2026-03-11T11:46:16,1393.55,1456,2026,9000000,Land,Residential,COMPLETED
2769,9000000,Al Twar Third,2026-03-16T10:02:12,2769,1506,2026,9000000,Land,Residential,COMPLETED
1637.23,9000000,Mirdif,2026-03-23T13:13:31,1637.23,1576,2026,9000000,Land,Residential,COMPLETED
1393.55,9000020,Al Warqa First,2026-03-07T09:52:16,1393.55,1401,2026,9000020,Land,Residential Flats,COMPLETED
1395.03,9009578,Al Warqa First,2026-03-28T09:54:58,1395.03,1660,2026,9009578,Land,Residential Flats,COMPLETED
930.25,9011806,Nad Al Shiba First,2026-03-14T17:39:40,930.25,1494,2026,9011806,Land,Villa,COMPLETED
930.26,9011903,Nad Al Shiba First,2026-03-14T17:45:51,930.26,1495,2026,9011903,Land,Villa,COMPLETED
1483.38,9180999,Al Warqa First,2026-03-03T12:18:45,1483.38,1361,2026,9180999,Land,Commercial,COMPLETED
1454.32,9392493,Al Warqa First,2026-03-11T11:14:37,1454.32,1455,2026,9392493,Land,Residential,COMPLETED
1114.84,9600021,Um Al Sheif,2026-03-15T11:47:15,1114.84,1498,2026,9600021,Land,Residential,COMPLETED
2952.46,10000000,Al Mizhar First,2026-03-12T10:11:28,2952.46,1466,2026,10000000,Land,Residential,COMPLETED
466.84,10050038,Al Suq Al Kabeer,2026-03-17T14:22:06,466.84,1544,2026,10050038,Land,Commercial,COMPLETED
1337.53,10077927,Um Suqaim Second,2026-03-24T21:41:27,1337.53,1613,2026,10077927,Land,Residential,COMPLETED
1574.74,10170206,Al Warsan Second,2026-03-30T09:40:38,1574.74,1667,2026,10170206,Land,General Use,COMPLETED
1620.24,10464061,Al Mamzer,2026-03-23T10:36:32,1620.24,1569,2026,10464061,Land,Residential,COMPLETED
1694.17,10941526,Al Yelayiss 1,2026-03-11T13:15:44,1694.17,1460,2026,10941526,Land,Villa,COMPLETED
744.76,11000000,Al Thanyah Fifth,2026-03-16T12:12:15,744.76,1520,2026,11000000,Land,Commercial,COMPLETED
269.6,11000000,Naif,2026-03-02T10:34:54,269.6,1338,2026,11000000,Land,Commercial,COMPLETED
3660.38,11031990,Al Goze First,2026-03-31T08:49:32,3660.38,1684,2026,11031990,Land,,COMPLETED
876.43,11320566,Mirdif,2026-03-23T13:08:13,876.43,1575,2026,11320566,Land,Residential Flats,COMPLETED
1189,11518449,Al Raffa,2026-03-12T01:21:48,1189,1465,2026,11518449,Land,,COMPLETED
692.25,12000000,Al Safouh First,2026-03-24T13:49:04,692.25,1607,2026,12000000,Land,Commercial,COMPLETED
